170 days,,124 days,,77 days,,28 days,,0 days,
0.000106261,300.8479004,0.000106378,334.4733887,0.000106333,366.0769958,0.000106551,399.7357788,0.000106544,428.5938416
0.000107253,300.9617004,0.000107408,334.894165,0.000107363,366.5421143,0.000107581,400.2581482,0.000107574,429.1717834
0.000108245,298.9179688,0.000108438,335.3044739,0.000108386,366.9785767,0.000108611,400.7586975,0.000108604,429.7196655
0.000109237,299.532196,0.000109461,335.6941223,0.000109378,367.3847656,0.000109641,401.2353516,0.000109634,430.2512207
0.000110229,298.7744751,0.000110453,336.072052,0.00011037,367.7480774,0.000110662,401.6862488,0.000110664,430.7558289
0.00011122,297.467865,0.000111445,336.4267578,0.000111362,368.06604,0.000111654,402.1087952,0.000111658,431.2357178
0.000112212,297.663208,0.000112437,336.7606812,0.000112353,368.3340454,0.000112646,402.5024719,0.00011265,431.6952209
0.000113204,297.4152832,0.000113429,337.0690002,0.000113345,368.5255737,0.000113638,402.868103,0.000113641,432.1334839
0.000114196,297.1253052,0.00011442,337.3460083,0.000114337,368.5410767,0.00011463,403.214325,0.000114633,432.5496216
0.000115188,295.699646,0.000115412,337.6002808,0.000115329,368.0702209,0.000115622,403.5464783,0.000115625,432.9444885
,,0.000116404,337.8231812,0.000116321,366.0409851,0.000116613,403.8622742,0.000116617,433.3214417
,,0.000117396,338.0133362,0.000117312,352.2627563,0.000117605,404.1498108,0.000117609,433.6749573
,,0.000118388,338.1426697,,,0.000118597,404.4064941,0.000118601,434.0036621
,,0.000119379,338.1051025,,,0.000119589,404.6383362,0.000119592,434.3143005
,,0.000120371,337.9942932,,,0.000120581,404.8342896,0.000120584,434.6079102
,,0.000121363,337.3182678,,,0.000121572,404.9746094,0.000121576,434.7957458
,,0.000122355,337.1859436,,,0.000122564,405.0715942,0.000122568,435.131134
,,0.000123347,336.3536072,,,0.000123556,405.0372009,0.00012356,435.3599854
,,0.000124339,330.249054,,,0.000124548,404.8448181,0.000124551,435.5631714
,,0.00012533,323.5963745,,,0.00012554,404.4640503,0.000125543,435.7456055
,,,,,,0.000126532,403.8200378,0.000126535,435.9043274
,,,,,,0.000127523,403.0653992,0.000127527,436.0300903
,,,,,,0.000128515,401.9903564,0.000128519,436.1173706
,,,,,,0.000129507,400.2832947,0.00012951,436.1161194
,,,,,,0.000130499,397.6227112,0.000130502,435.9830627
,,,,,,,,0.000131494,435.7229309
,,,,,,,,0.000132486,435.2955627
,,,,,,,,0.000133478,434.4716492
,,,,,,,,0.00013447,433.7009888
,,,,,,,,0.000135461,432.5588074
,,,,,,,,0.000136453,430.9627686
,,,,,,,,0.000137445,428.1529846
,,,,,,,,0.000138437,422.861908
